560839	1803	753
560839	1805	548
560840	1845	1988
560848	3672	2783
560848	3673	3191
560848	3674	3195
560848	3675	3194
560848	3676	3191
560848	3682	2736
560848	3683	3192
560848	3684	3191
560848	3685	3191
560848	3686	3195
560848	3692	2705
560848	3693	3191
560848	3694	3191
560848	3695	3194
560848	3696	3193
560841	5992	718
560841	5993	3192
560841	6000	656
560841	6001	3192
560842	7709	644
560842	7711	719
560842	7713	693
560844	9838	764
560844	9852	685
560844	9854	781
560844	9856	687
560844	9858	717
560844	9860	715
560844	9862	825
560844	9924	2582
560838	11322	1701
560838	11323	1874
560838	11325	2698
560838	11326	2017
560838	11327	3195
560838	11329	1878
560838	11331	341
560846	11430	782
560846	11431	701
560846	11437	1845
560846	11457	580
560846	11458	735
560846	11464	2284
560838	11944	411
560845	13556	826
560845	13557	647
560845	13558	735
560845	13559	722
560845	13560	847
560845	13562	826
560845	13563	722
560838	14380	3134
560838	14394	509
560838	14397	509
560838	14398	509
560838	14399	509
560838	14403	193
560848	16178	638
560848	16179	638
560848	16646	2119
560848	17465	1960
560848	17466	2351
560839	18634	690
560848	20208	2571
560848	20209	2226
560847	21047	2386
560847	21397	2684
560848	23620	628
560848	23621	2226
560843	33596	102
560843	33597	1629
560843	33598	62
560843	33599	1568
560843	33601	161
560843	33602	173
560843	33603	61
560843	33604	66
560843	33605	160
560838	38360	495
560838	38361	2017
560846	38820	691
560846	38821	648
560846	39290	624
560838	39374	2000
560838	39375	3196
560838	39376	2669
560838	41873	1730
560843	44245	62
560843	44246	156
560843	44247	61
560843	44248	158
560843	44249	64
560843	44250	162
560843	44251	133
560843	44252	157
560843	44253	63
